student_id,subject_id,grade,semester,year,curriculum
f31df81d081367bb50462e95405acd57,1006028,C+,1,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1006030,D,1,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1076001,C,1,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1076002,B+,1,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,90201001,C+,1,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,90306003,B+,1,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1006031,F,2,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1076003,D,2,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1076004,D+,2,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1076012,D,2,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,90201002,C,2,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,90402008,C+,2,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1006031,D+,3,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,3456227,A,3,2560,Computer Engineer
f31df81d081367bb50462e95405acd57,1076006,D+,1,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,90108007,B,1,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,90201026,B,1,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,1076005,D+,2,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,90106002,B,2,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,90306008,F,2,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,90401013,B+,2,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,3456216,A,3,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,90201016,B,3,2561,Computer Engineer
f31df81d081367bb50462e95405acd57,1076008,C+,1,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076032,F,1,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076263,C+,1,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076013,C,2,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076014,B+,2,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076023,A,2,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076423,B+,2,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076582,C+,2,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1006004,S,3,2562,Computer Engineer
f31df81d081367bb50462e95405acd57,1076007,D,1,2563,Computer Engineer
f31df81d081367bb50462e95405acd57,1076011,C,1,2563,Computer Engineer
f31df81d081367bb50462e95405acd57,1076015,B+,1,2563,Computer Engineer
f31df81d081367bb50462e95405acd57,1076026,D+,1,2563,Computer Engineer
f31df81d081367bb50462e95405acd57,1076032,C+,1,2563,Computer Engineer
f31df81d081367bb50462e95405acd57,1076311,B,1,2563,Computer Engineer
